Date,Product,Region,Unit_Price,Discount_Percent,Marketing_Spend,Units_Sold,Revenue
2021-07-01,Camera,West,1389.87,10,26830.27,1524,2118156.73
2025-09-01,Tablet,Central,1299.75,20,5039.43,375,487406.06
2024-07-01,Mobile,Central,278.14,20,16168.74,852,236972.39
2022-01-01,Camera,Central,1155.59,30,28532.45,1307,1510350.7
2021-12-01,Smartwatch,East,359.04,15,17218.6,825,296210.28
2024-10-01,Speaker,North,1387.75,20,40314.24,1233,1711096.62
2024-10-01,Speaker,East,1368.88,0,13601.25,338,462681.43
2021-06-01,Mobile,West,258.52,0,7181.16,273,70575.02
2022-08-01,Tablet,Central,1139.65,25,4076.57,690,786355.1
2024-08-01,Headphones,West,981.32,10,26859.33,1124,1103001.72
2023-09-01,Speaker,Central,163.33,30,16945.85,748,122174.0
2023-01-01,Headphones,North,1121.23,0,23755.48,1304,1462079.97
2022-04-01,Headphones,West,1042.59,20,32209.68,2205,2298908.91
2024-09-01,Speaker,East,1354.02,15,14884.65,609,824597.7
2025-09-01,Smartwatch,North,1328.66,15,7500.31,339,450416.69
2021-11-01,Tablet,West,1010.25,25,19894.69,1254,1266859.62
2021-09-01,Speaker,Central,146.41,40,18502.54,863,126348.09
2021-12-01,Mobile,West,307.57,0,23031.63,258,79354.05
2023-02-01,Mobile,East,197.78,0,12408.81,515,101855.34
2022-11-01,Camera,South,210.16,5,25587.35,1283,269640.78
2022-04-01,Mobile,West,288.2,10,11234.81,384,110669.88
2023-06-01,Tablet,West,1098.52,15,8724.48,897,985376.51
2021-01-01,Mobile,East,181.0,5,10419.08,710,128512.14
2024-04-01,Speaker,West,501.37,10,12657.41,472,236648.66
2024-04-01,Mobile,West,306.7,20,7265.13,297,91090.86
2021-08-01,Tablet,Central,1247.44,0,4539.87,238,296889.65
2023-09-01,Mobile,East,203.29,0,13239.26,491,99816.96
2025-06-01,Laptop,East,266.32,0,18753.24,412,109723.26
2024-12-01,Camera,Central,1154.39,0,33001.3,878,1013552.92
2023-10-01,Tablet,North,402.06,30,10599.09,182,73174.45
2024-11-01,Smartwatch,Central,458.18,40,17105.42,1305,597925.06
2023-11-01,Laptop,South,1253.87,0,29671.36,1072,1344152.92
2021-03-01,Speaker,Central,162.03,0,12716.24,1041,168675.12
2021-10-01,Camera,West,1367.61,25,33369.71,1273,1740973.24
2025-03-01,Tablet,Central,1326.04,0,3322.45,619,820821.02
2021-08-01,Speaker,West,415.33,10,14619.44,292,121276.04
2024-12-01,Mobile,North,1310.42,5,29124.78,572,749560.07
2022-11-01,Speaker,West,442.16,5,22391.07,368,162713.6
2024-01-01,Tablet,South,1326.59,0,22450.22,669,887491.83
2025-03-01,Mobile,Central,245.89,15,22997.48,1883,463009.46
2025-08-01,Tablet,Central,1212.15,0,4037.51,440,533345.72
2021-03-01,Mobile,South,1161.64,30,10134.51,1424,1654180.0
2025-04-01,Mobile,South,1223.3,10,9084.16,1260,1541363.38
2023-06-01,Tablet,East,197.38,10,23321.4,1034,204093.7
2024-05-01,Camera,Central,1170.18,0,27797.25,943,1103484.33
2021-05-01,Mobile,North,1211.09,20,16524.81,801,970081.14
2021-10-01,Speaker,South,341.44,20,10440.18,683,233200.39
2025-05-01,Camera,East,192.97,25,39300.85,3866,746011.86
2025-05-01,Speaker,West,450.78,0,21948.1,752,338988.12
2022-12-01,Speaker,South,325.42,0,9421.71,651,211849.97
2021-08-01,Camera,Central,1101.05,30,20621.97,851,936989.93
2024-05-01,Camera,West,1342.69,15,19761.13,1968,2642413.89
2021-03-01,Laptop,West,1346.96,15,23923.66,1210,1629824.75
2024-03-01,Camera,South,220.01,5,11149.6,1425,313515.6
2024-06-01,Mobile,North,1152.57,40,13030.8,940,1083417.54
2021-08-01,Laptop,West,1206.12,20,16172.49,547,659747.59
2025-06-01,Speaker,Central,143.0,0,24322.01,1700,243092.92
2024-03-01,Tablet,Central,1304.33,15,2706.84,437,569990.72
2024-08-01,Camera,East,188.51,10,32061.85,2105,396812.13
2021-12-01,Mobile,East,194.25,0,14840.27,579,112468.79
2022-08-01,Headphones,West,1082.96,15,22870.11,924,1000653.24
2022-05-01,Speaker,Central,151.76,15,18253.6,1742,264362.31
2023-10-01,Smartwatch,North,1191.76,15,15348.69,588,700755.31
2023-11-01,Laptop,North,836.62,20,22648.3,863,722006.6
2024-10-01,Mobile,West,310.48,0,20056.93,194,60232.74
2021-10-01,Laptop,Central,1363.05,15,29367.28,1037,1413482.73
2025-04-01,Tablet,North,335.35,15,3099.27,144,48290.38
2024-08-01,Camera,South,203.65,0,21146.62,961,195708.94
2021-12-01,Speaker,North,1242.98,0,64148.59,1370,1702875.81
2024-10-01,Camera,East,200.34,25,39423.07,1523,305125.09
2023-08-01,Camera,North,1018.36,25,28515.36,1960,1995993.97
2025-01-01,Headphones,West,1151.97,0,30425.57,1097,1263712.78
2022-11-01,Camera,East,213.6,15,29903.16,1342,286653.85
2021-07-01,Laptop,North,766.45,10,7950.93,765,586336.41
2024-01-01,Headphones,South,384.35,20,17879.14,1613,619959.07
2022-10-01,Smartwatch,East,377.37,0,14124.14,480,181138.13
2025-07-01,Tablet,Central,1222.18,25,2669.29,230,281101.53
2024-04-01,Camera,West,1594.88,10,20194.32,1486,2369995.45
2023-02-01,Camera,South,229.15,40,15665.89,2520,577465.25
2023-09-01,Mobile,North,1159.33,30,9974.23,470,544884.48
2024-12-01,Speaker,North,1204.76,25,28222.85,1684,2028809.51
2024-03-01,Speaker,North,1392.85,20,23161.98,1851,2578171.16
2024-03-01,Headphones,East,525.76,15,23410.18,1240,651944.31
2023-09-01,Camera,Central,1072.74,10,27679.37,770,826013.45
2025-07-01,Speaker,Central,148.58,25,21261.73,1717,255109.78
2021-02-01,Speaker,West,479.06,0,20859.64,544,260607.3
2021-09-01,Headphones,Central,1120.64,15,23427.1,604,676868.75
2021-12-01,Speaker,West,486.56,10,18192.32,290,141101.65
2021-10-01,Tablet,North,399.25,0,6322.7,26,10380.57
2024-07-01,Headphones,East,591.66,15,28063.69,785,464455.48
2025-01-01,Headphones,North,1146.85,0,27352.03,1196,1371628.76
2021-03-01,Smartwatch,East,352.52,10,15679.69,1081,381070.14
2022-09-01,Mobile,East,189.66,5,12422.06,361,68469.04
2023-02-01,Smartwatch,East,329.69,0,7856.05,531,175064.17
2023-01-01,Mobile,South,1165.52,20,11599.98,1031,1201648.36
2021-09-01,Tablet,North,340.73,0,6226.03,114,38843.11
2022-10-01,Laptop,West,1248.59,0,22649.12,390,486948.61
2022-03-01,Mobile,East,209.41,0,8686.76,668,139886.45
2022-02-01,Tablet,West,1056.29,10,14152.61,1838,1941460.01
2025-05-01,Tablet,East,204.86,10,20245.03,825,169008.97
2022-01-01,Headphones,South,422.75,20,25823.91,1707,721639.16
2022-08-01,Camera,South,191.68,0,19860.07,1377,263942.63
2022-07-01,Headphones,North,1044.69,20,29361.29,2134,2229361.65
2023-10-01,Smartwatch,East,341.98,15,25367.15,654,223654.07
2021-02-01,Laptop,West,1198.66,0,14964.79,773,926565.08
2024-12-01,Smartwatch,Central,490.13,30,15052.33,1239,607275.31
2023-01-01,Speaker,East,1223.13,5,7726.73,813,994401.54
2022-11-01,Mobile,Central,268.6,15,35968.83,943,253292.97
2022-12-01,Tablet,Central,1103.61,20,6149.5,657,725071.22
2023-08-01,Tablet,East,192.2,0,18247.86,410,78801.22
2022-11-01,Mobile,East,188.43,25,16201.57,731,137744.65
2023-03-01,Laptop,East,232.86,0,21467.61,504,117360.53
2025-03-01,Camera,North,1077.7,15,23804.91,1979,2132774.47
2024-10-01,Laptop,Central,1199.02,10,45928.05,1474,1767361.02
2022-06-01,Headphones,West,1021.18,0,21536.03,1323,1351022.95
2025-09-01,Tablet,East,199.93,0,15223.34,290,57979.72
2024-03-01,Laptop,East,256.59,5,24847.42,636,163189.48
2022-12-01,Camera,West,1315.56,10,19950.28,1082,1423432.32
2021-03-01,Speaker,North,1265.65,15,25960.44,2118,2680639.45
2025-06-01,Headphones,North,985.23,10,16424.39,1869,1841393.49
2023-04-01,Mobile,East,179.82,15,8117.64,1023,183951.77
2022-10-01,Headphones,West,1069.7,0,30601.3,721,771253.77
2021-01-01,Camera,West,1323.91,10,21950.38,1423,1883918.8
2022-02-01,Smartwatch,West,668.93,10,10743.77,560,374602.53
2023-11-01,Camera,North,946.78,10,52563.84,1619,1532842.78
2025-02-01,Laptop,North,789.17,5,13001.14,1080,852303.75
2021-10-01,Headphones,East,518.84,15,25413.48,582,301966.84
2025-09-01,Speaker,West,480.75,15,16303.83,317,152398.24
2023-11-01,Headphones,South,370.55,5,27022.08,858,317934.94
2025-03-01,Mobile,East,201.87,25,10142.5,852,171996.01
2023-01-01,Headphones,South,364.71,10,27363.65,1799,656118.93
2022-10-01,Laptop,East,250.66,0,29989.74,257,64420.23
2025-06-01,Headphones,Central,1287.78,20,24677.16,1001,1289063.17
2023-09-01,Headphones,Central,1186.84,10,34427.0,624,740586.01
2023-04-01,Laptop,East,268.14,0,14251.86,441,118251.17
2023-09-01,Speaker,North,1204.49,15,18313.18,1153,1388779.12
2024-02-01,Tablet,Central,1308.73,5,5212.51,419,548357.56
2023-09-01,Tablet,North,339.63,0,3285.79,30,10188.89
2022-05-01,Camera,Central,1097.37,30,31838.4,2011,2206801.05
2025-09-01,Headphones,East,550.14,15,14385.19,505,277822.77
2025-06-01,Camera,North,1064.88,10,16944.34,1463,1557920.16
2023-09-01,Smartwatch,West,722.15,15,6340.44,117,84491.03
2024-02-01,Speaker,South,311.51,25,7449.89,788,245473.09
2024-04-01,Smartwatch,West,751.96,25,8254.99,585,439899.31
2022-12-01,Camera,Central,1153.38,25,46844.58,1199,1382903.63
2023-04-01,Mobile,West,305.78,25,10812.47,410,125369.72
2023-03-01,Speaker,North,1410.38,0,37794.74,1722,2428681.62
2022-10-01,Smartwatch,Central,446.93,0,10423.34,724,323575.87
2022-12-01,Camera,South,228.16,0,30888.98,1387,316456.59
2024-09-01,Smartwatch,South,1289.71,10,5172.32,250,322428.04
2024-05-01,Mobile,East,202.64,0,9492.26,678,137389.09
2023-06-01,Mobile,North,1137.93,10,15399.86,684,778347.51
2024-07-01,Tablet,Central,1127.77,15,2837.78,471,531181.75
2025-09-01,Smartwatch,West,692.57,15,5257.4,142,98344.75
2022-04-01,Mobile,Central,245.05,10,14664.41,1102,270046.45
2022-02-01,Tablet,North,369.32,5,6113.77,188,69432.48
2024-07-01,Mobile,North,1109.38,0,14311.85,408,452627.38
2025-01-01,Smartwatch,Central,498.15,25,9295.34,1179,587317.04
2022-07-01,Mobile,South,1069.4,25,13929.71,1463,1564537.39
2022-03-01,Tablet,Central,1116.9,20,5127.5,1017,1135890.13
2023-01-01,Camera,East,211.38,15,29489.46,1875,396330.24
